Player,Team,Type,Price,Season
Daniel Worrall,-,BOWL,0,2025
Pyla Avinash,PBKS,BAT,0.3,2025
Kiran Chormale,-,BAT,0,2025
Ashish Dahariya,-,BAT,0,2025
Tushar Raheja,-,BAT,0,2025
Sarthak Ranjan,-,BAT,0,2025
Abhijeet Tomar,-,BAT,0,2025
Krish Bhagat,-,AR,0,2025
Sohraab Dhaliwal,-,AR,0,2025
Harsh Dubey,-,AR,0,2025
Ramakrishna Ghosh,CSK,AR,0.3,2025
Raj Limbani,-,AR,0,2025
Ninad Rathva,-,AR,0,2025
Vivrant Sharma,-,AR,0,2025
Shiva Singh,-,AR,0,2025
Sayed Irfan Aftab,-,BOWL,0,2025
Anirudh Chowdhary,-,BOWL,0,2025
Siddarth Kaul,-,BOWL,0,2025
Prashant Painkra,-,BOWL,0,2025
Satyanarayana Raju,MI,BOWL,0.3,2025
Yeddala Reddy,-,BOWL,0,2025
Zakary Foulkes,-,AR,0,2025
Chris Green,-,AR,0,2025
Shakib Al Hasan,-,AR,0,2025
Mehidy Hasan Miraz,-,AR,0,2025
Wiaan Mulder,-,AR,0,2025
Dwaine Pretorius,-,AR,0,2025
Dasun Shanaka,-,AR,0,2025
Shoriful Islam,-,BOWL,0,2025
Blessing Muzarabani,-,BOWL,0,2025
Matthew Potts,-,BOWL,0,2025
Tanzim Hasan Sakib,-,BOWL,0,2025
Ben Sears,-,BOWL,0,2025
Tim Southee,-,BOWL,0,2025
John Turner,-,BOWL,0,2025
Joshua Brown,-,BAT,0,2025
Oliver Davies,-,BAT,0,2025
Bevon Jacobs,MI,BAT,0.3,2025
Atharva Kale,-,BAT,0,2025
Abhishek Nair,-,BAT,0,2025
Vishwanath Singh,-,BAT,0,2025
Lone Nasir,-,AR,0,2025
Brandon McMullen,-,AR,0,2025
Sudhesan Midhun,-,AR,0,2025
Abid Mushtaq,-,AR,0,2025
Mahesh Pithiya,-,AR,0,2025
Maramreddy Reddy,-,AR,0,2025
Atit Sheth,-,AR,0,2025
Jonty Sidhu,-,AR,0,2025
Mohit Avasthi,-,BOWL,0,2025
Faridoon Dawoodzai,-,BOWL,0,2025
Praful Hinge,-,BOWL,0,2025
Pankaj Jaswal,-,BOWL,0,2025
Vijay Kumar,-,BOWL,0,2025
Ashok Sharma,RR,BOWL,0.3,2025
Mujtaba Yousuf,-,BOWL,0,2025
Ashton Agar,-,AR,0,2025
Roston Chase,-,AR,0,2025
Junior Dala,-,AR,0,2025
Mahedi Hasan,-,AR,0,2025
Nangeyalia Kharote,-,AR,0,2025
Dan Lawrence,-,AR,0,2025
Nathan Smith,-,AR,0,2025
James Anderson,-,BOWL,0,2025
Kyle Jamieson,-,BOWL,0,2025
Chris Jordan,-,BOWL,0,2025
Hasan Mahmud,-,BOWL,0,2025
Tymal Mills,-,BOWL,0,2025
David Payne,-,BOWL,0,2025
Nahid Rana,-,BOWL,0,2025
Prayas Ray Barman,-,BAT,0,2025
Jafar Jamal,-,BAT,0,2025
Ayaz Khan,-,BAT,0,2025
Kaushik Maity,-,BAT,0,2025
Rituraj Sharma,-,BAT,0,2025
Vaibhav Suryavanshi,RR,BAT,1.1,2025
Kartik Chadha,-,AR,0,2025
Writtick Chatterjee,-,AR,0,2025
Prerit Dutta,-,AR,0,2025
Rajneesh Gurbani,-,AR,0,2025
Shubhang Hegde,-,AR,0,2025
Saransh Jain,-,AR,0,2025
Ripal Patel,-,AR,0,2025
Akash Vasisht,-,AR,0,2025
Anirudh Kanwar,-,BOWL,0,2025
Shubham Kapse,-,BOWL,0,2025
Atif Mushtaq,-,BOWL,0,2025
Dipesh Parwani,-,BOWL,0,2025
Manish Reddy,-,BOWL,0,2025
Chetan Sharma,-,BOWL,0,2025
Avinash Singh,-,BOWL,0,2025
Alick Athanaze,-,AR,0,2025
Hilton Cartwright,-,AR,0,2025
Dominic Drakes,-,AR,0,2025
Daryn Dupavillon,-,BOWL,0,2025
Matthew Forde,-,AR,0,2025
Patrick Kruger,-,AR,0,2025
Lahiru Kumara,-,BOWL,0,2025
Michael Neser,-,AR,0,2025
Richard Ngarava,-,BOWL,0,2025
Wayne Parnell,-,BOWL,0,2025
Keemo Paul,-,AR,0,2025
Odean Smith,-,AR,0,2025
Andrew Tye,-,BOWL,0,2025
Ajay Ahlawat,-,AR,0,2025
Corbin Bosch,-,AR,0,2025
Mayank Gusain,-,AR,0,2025
Mukhtar Hussain,-,AR,0,2025
Girinath Reddy,-,AR,0,2025
Jalaj Saxena,-,AR,0,2025
Yajas Sharma,-,AR,0,2025
Sanjay Yadav,-,AR,0,2025
Vishal Godara,-,BOWL,0,2025
Eshan Malinga,SRH,BOWL,1.2,2025
Samarth Nagaraj,-,BOWL,0,2025
Abhishek Saini,-,BOWL,0,2025
Dumindu Sewmina,-,BOWL,0,2025
Pradyuman Singh,-,BOWL,0,2025
Vasu Vats,-,BOWL,0,2025
Umang Kumar,-,AR,0,2025
Mohamed Ali,-,AR,0,2025
Atharva Ankolekar,-,AR,0,2025
Vaisakh Chandran,-,AR,0,2025
Auqib Nabi,-,AR,0,2025
Rohit Rayudu,-,AR,0,2025
Uday Saharan,-,AR,0,2025
Ayush Vartak,-,AR,0,2025
Baba Aparajith,-,AR,0,2025
Sumit Beniwal,-,AR,0,2025
Nishunk Birla,-,AR,0,2025
Digvijay Deshmukh,-,AR,0,2025
Lakshay Jain,-,AR,0,2025
Duan Jansen,-,AR,0,2025
Kritagya Singh,-,AR,0,2025
P Vignesh,-,AR,0,2025
Sabhay Chadha,-,AR,0,2025
Benny Howell,-,AR,0,2025
Hemanth Kumar,-,AR,0,2025
Rohan Rana,-,AR,0,2025
Bharat Sharma,-,AR,0,2025
Pratham Singh,-,AR,0,2025
Tripurana Vijay,DC,AR,0.3,2025
Ravi Kumar Yadav,-,AR,0,2025
Arjun Azad,-,AR,0,2025
Abhay Choudhary,-,AR,0,2025
Gaurav Gambhir,-,AR,0,2025
Shubham Garhwal,-,AR,0,2025
Tejasvi Jaiswal,-,AR,0,2025
Sairaj Patil,-,AR,0,2025
Madhav Tiwari,DC,AR,0.4,2025
Kamal Tripathi,-,AR,0,2025
Prashant Chauhan,-,AR,0,2025
Yash Dabas,-,AR,0,2025
Dhruv Kaushik,-,AR,0,2025
Khrievitso Kense,-,AR,0,2025
Akash Parkar,-,AR,0,2025
Vignesh Puthur,MI,AR,0.3,2025
Tripuresh Singh,-,AR,0,2025
Vijay Yadav,-,AR,0,2025
Jofra Archer,RR,BOWL,12.5,2025
Saurabh Netravalkar,-,BOWL,0,2025
Hardik Tamore,-,WK,0,2025
Daryl Mitchell,-,AR,0,2025
